name,price,href,size,color,rpm,airflow,noise_level,pwm
NZXT F RGB Core 2-Pack,59.99,https://pcpartpicker.com/product/2288TW/nzxt-f-rgb-core-8948-cfm-140-mm-fans-2-pack-rf-c14hf-b1,140,Black,"500,1800","24.85,89.48","20,32.5",true
Noctua A14 industrialPPC-3000 PWM,35.95,https://pcpartpicker.com/product/ntXfrH/noctua-case-fan-nfa14industrialppc3000pwm,140,Brown / Black,"800,3000",158.5,41.3,true
Corsair LL120 3-Pack,69.99,https://pcpartpicker.com/product/8KFXsY/corsair-ll120rgb-led-4325-cfm-120-mm-fans-3-pack-co-9050072-ww,120,Black,"600,1500",43.25,24.8,true
Corsair AF140 Quiet,,https://pcpartpicker.com/product/yYkD4D/corsair-air-series-af140-quiet-edition-678-cfm-140-mm-fan-co-9050009-ww,140,Black,1150,67.8,24,false
Thermalright TL-S12 X3 3-Pack,,https://pcpartpicker.com/product/4zkH99/thermalright-tl-s12-x3-476-cfm-120-mm-fans-3-pack-tl-s12-x3,120,Black,1500,47.6,23.2,true
Lian Li UNI FAN SL V2,26.99,https://pcpartpicker.com/product/qpqPxr/lian-li-uni-fan-sl-v2-645-cfm-120-mm-fan-sl120v2-1w,120,White / Silver,"250,2000",64.5,29.2,true
Noctua A12x15 PWM chromax.black.swap,26.95,https://pcpartpicker.com/product/FM3mP6/noctua-nf-a12x15-pwm-chromaxblackswap-5544-cfm-120-mm-fan-nf-a12x15-pwm-chromaxblackswap,120,Black / Multicolor,"450,1850",55.44,23.9,true
NZXT F120Q (2024),21.98,https://pcpartpicker.com/product/DbJp99/nzxt-f120q-2024-7426-cfm-120-mm-fan-rf-q12sf-b2,120,Black,"500,1700",74.26,25.1,true
Corsair LL120 3-Pack,54.99,https://pcpartpicker.com/product/ydRzK8/corsair-ll120-rgb-white-63-cfm-120-mm-fans-3-pack-co-9050092-ww,120,White,2200,63,36,true
Corsair iCUE LINK RX120 3-Pack,89.99,https://pcpartpicker.com/product/8wfxFT/corsair-icue-link-rx120-742-cfm-120-mm-fans-3-pack-co-9051018-ww,120,Black / White,2100,"10.5,74.2","10,36",false
ARCTIC P14 Max,,https://pcpartpicker.com/product/KmzXsY/arctic-p14-max-95-cfm-140-mm-fan-acfan00287a,140,Black,"400,2800",95,,true
Lian Li UNI FAN SL V2,29.99,https://pcpartpicker.com/product/QD6p99/lian-li-uni-fan-sl-v2-776-cfm-140-mm-fan-sl140v2-1b,140,Black / Silver,"250,1600",77.6,29,true
Lian Li UNI FAN SL V2 120 Reverse,26,https://pcpartpicker.com/product/cPhv6h/lian-li-uni-fan-sl-v2-120-reverse-654-cfm-120-mm-fan-rsl120v2-1w,120,White,"250,2000",65.4,32,true
be quiet! Light Wings PWM high-speed 3-Pack,59.9,https://pcpartpicker.com/product/KyZ9TW/be-quiet-light-wings-pwm-high-speed-523-cfm-120-mm-fans-3-pack-bl077,120,Black,2500,52.3,31,true
Thermalright TL-C14C-S,10.99,https://pcpartpicker.com/product/HQxxFT/thermalright-tl-c14c-s-758-cfm-140-mm-fan-tl-c14c-s,140,Black,1500,75.8,26.4,true
Corsair iCUE LINK QX140 RGB Starter Kit 2-Pack,119.99,https://pcpartpicker.com/product/nBrqqs/corsair-icue-link-qx140-rgb-starter-kit-825-cfm-140-mm-fans-2-pack-co-9051004-ww,140,Black,"400,2000","12.1,82.5",,true
ARCTIC P12 PST,10.49,https://pcpartpicker.com/product/2hpmP6/arctic-p12-pst-563-cfm-120-mm-fan-acfan00170a,120,White,"200,1800",56.3,,true
NZXT F120 RGB DUO,28.99,https://pcpartpicker.com/product/k8Fbt6/nzxt-f120-rgb-duo-4858-cfm-120-mm-fan-rf-d12sf-b1,120,Black,"500,1800",48.58,29,true
ARCTIC P12 Slim PWM PST,9.14,https://pcpartpicker.com/product/YCbTwP/arctic-p12-slim-pwm-pst-411-cfm-120-mm-fan-acfan00187a,120,Black,"300,2100",41.1,22.5,true
Lian Li UNI FAN TL LCD 120 3-Pack,137.9,https://pcpartpicker.com/product/LppQzy/lian-li-uni-fan-tl-lcd-120-901-cfm-120-mm-fans-3-pack-12tllcd3w,120,White,,90.1,33,true
Noctua F12 PWM,21.78,https://pcpartpicker.com/product/b2vRsY/noctua-nf-f12-pwm-5497-cfm-120-mm-fan-nf-f12-pwm,120,Brown,"300,1500","43.73,54.97","18.6,22.4",true
Phanteks D30-120 Reversed 3-Pack,89.99,https://pcpartpicker.com/product/hrV2FT/phanteks-d30-120-reversed-615-cfm-120-mm-fans-3-pack-ph-f120d30r_drgb_pwm_bk01_3p,120,Black,"250,2000",61.5,31.8,true
Lian Li UNI FAN P28 3-Pack,59.98,https://pcpartpicker.com/product/gVWJ7P/lian-li-uni-fan-p28-92-cfm-120-mm-fans-3-pack-p28120-3b,120,Black,"200,2600","44.94,92","20.4,32.1",true
Phanteks PH-F120T30 3-Pack,84.99,https://pcpartpicker.com/product/YwmmP6/phanteks-ph-f120t30-101-cfm-120-mm-fans-3-pack-ph-f120t30_bg_3p,120,Black / Gray,,"0,101","0,39.7",true
Lian Li UNI FAN TL LCD 120 3-Pack,122.72,https://pcpartpicker.com/product/Nsgrxr/lian-li-uni-fan-tl-lcd-120-901-cfm-120-mm-fans-3-pack-12tllcd3b,120,Black,,90.1,33,true
ARCTIC P12 PST A-RGB 0dB,16.98,https://pcpartpicker.com/product/QpH7YJ/arctic-p12-pst-a-rgb-0db-488-cfm-120-mm-fan-acfan00231a,120,Black,,48.8,,true
Asus TUF Gaming TF120 ARGB 3-Pack,56.99,https://pcpartpicker.com/product/bRD7YJ/asus-tuf-gaming-tf120-argb-76-cfm-120-mm-fans-3-pack-tuf-gaming-tf120-argb-3in1,120,Black / White,"250,1900",76,29,true
ARCTIC P12,14.64,https://pcpartpicker.com/product/HGGnTW/arctic-p12-563-cfm-120-mm-fan-acfan00118a,120,Black,1800,56.3,,false
Lian Li UNI FAN P28 3-Pack,39.9,https://pcpartpicker.com/product/qGP8TW/lian-li-uni-fan-p28-92-cfm-120-mm-fans-3-pack-p28120-3w,120,White,"200,2600","44.94,92","20.4,32.1",true
ARCTIC P12 Max,14.49,https://pcpartpicker.com/product/LQ9wrH/arctic-p12-max-8104-cfm-120-mm-fan-acfan00293a,120,White,"200,3300",81.04,,true
Corsair iCUE SP RGB ELITE 3-Pack,69.99,https://pcpartpicker.com/product/G74Ycf/corsair-icue-sp-rgb-elite-4773-cfm-120-mm-fans-3-pack-co-9050137-ww,120,White,"400,1500",47.73,28,true
Lian Li UNI FAN TL 120 Reverse Blade 3-Pack,99.99,https://pcpartpicker.com/product/ZdwmP6/lian-li-uni-fan-tl-120-reverse-blade-834-cfm-120-mm-fans-3-pack-12rtl3b,120,Black,"200,2300",83.4,34,false
Thermalright TL-C12B-S V3 X3 3-Pack,13.59,https://pcpartpicker.com/product/yDmNnQ/thermalright-tl-c12b-s-v3-x3-6617-cfm-120-mm-fans-3-pack-tl-c12b-s-v3-x3,120,Black,1500,66.17,25.6,true
Corsair iCUE LINK RX120 3-Pack,89.99,https://pcpartpicker.com/product/kPWJ7P/corsair-icue-link-rx120-742-cfm-120-mm-fans-3-pack-co-9051022-ww,120,White,2100,"10.5,74.2","10,36",false
Corsair AF120 ELITE,17,https://pcpartpicker.com/product/KHFbt6/corsair-af120-elite-591-cfm-120-mm-fan-co-9050140-ww,120,Black,"400,1850","10.9,59.1",31.5,true
be quiet! Pure Wings 3,9.9,https://pcpartpicker.com/product/QM26Mp/be-quiet-pure-wings-3-499-cfm-120-mm-fan-bl105,120,Black,1600,49.9,25.5,true
Thermalright TL-S12,6.79,https://pcpartpicker.com/product/YsmNnQ/thermalright-tl-s12-476-cfm-120-mm-fan-tl-s12,120,Black,1500,47.6,23.2,true
NZXT F120 RGB DUO 3-Pack,80,https://pcpartpicker.com/product/rWYmP6/nzxt-f120-rgb-duo-4858-cfm-120-mm-fans-3-pack-rf-d12tf-w1,120,White,"500,1800",48.58,29,true
Phanteks PH-F120T30,,https://pcpartpicker.com/product/LqrRsY/phanteks-ph-f120t30-101-cfm-120-mm-fan-ph-f120t30_bg,120,Black / Gray,,"0,101","0,39.7",true
NZXT F120 RGB DUO 3-Pack,89.27,https://pcpartpicker.com/product/2T4Ycf/nzxt-f120-rgb-duo-4858-cfm-120-mm-fans-3-pack-rf-d12tf-b1,120,Black,"500,1800",48.58,29,true
Corsair RS120 3-Pack,39.99,https://pcpartpicker.com/product/cbmNnQ/corsair-rs120-728-cfm-120-mm-fans-3-pack-co-9050189-ww,120,Black,"420,2100","13.3,72.8","10,36",true
Phanteks D30-120 Reversed 3-Pack,89.99,https://pcpartpicker.com/product/pn7scf/phanteks-d30-120-reversed-615-cfm-120-mm-fans-3-pack-ph-f120d30r_drgb_pwm_wt01_3p,120,White,"250,2000",61.5,31.8,true
NZXT F120 RGB Core 3-Pack,65.99,https://pcpartpicker.com/product/7vjRsY/nzxt-f120-rgb-core-7886-cfm-120-mm-fans-3-pack-rf-c12tf-w1,120,White,"500,1800",78.86,33.88,true
ARCTIC P14 PST 5-Pack,,https://pcpartpicker.com/product/62hKHx/arctic-p14-pst-728-cfm-140-mm-fans-5-pack-acfan00138a,140,Black,"200,1700",72.8,22.5,true
be quiet! Silent Wings 4,19.89,https://pcpartpicker.com/product/ZVpzK8/be-quiet-silent-wings-4-767-cfm-120-mm-fan-bl094,120,Black,2500,76.7,"32.1,31.2",true
Corsair iCUE AR120 Digital RGB,19.98,https://pcpartpicker.com/product/MbCZxr/corsair-icue-ar120-digital-rgb-59-cfm-120-mm-fan-co-9050166-ww,120,Black,"400,1850","10.7,59","10,27.3",true
Corsair iCUE AF120 RGB ELITE 3-Pack,84.99,https://pcpartpicker.com/product/X7rRsY/corsair-icue-af120-rgb-elite-6557-cfm-120-mm-fans-3-pack-co-9050158-ww,120,White,"550,2100","13.8,65.57","5,34.1",true
NZXT F120P (2024),14.99,https://pcpartpicker.com/product/KP4Zxr/nzxt-f120p-2024-7347-cfm-120-mm-fan-rf-p12sf-b2,120,Black,"500,2000",73.47,30,true
Corsair iCUE AR120 Digital RGB 3-Pack,44.99,https://pcpartpicker.com/product/C6qrxr/corsair-icue-ar120-digital-rgb-59-cfm-120-mm-fans-3-pack-co-9050169-ww,120,White,"400,1850","10.7,59","10,27.3",true
Montech RX120,12.9,https://pcpartpicker.com/product/6Fqrxr/montech-rx120-59-cfm-120-mm-fan-rx120-pwm-black,120,Black,"800,1600",59,27,true
Lian Li UNI SL120 3-Pack,79.99,https://pcpartpicker.com/product/fwsnTW/lian-li-uni-sl120-5854-cfm-120-mm-fans-3-pack-uf-sl120-3w,120,White,"800,1900",58.54,"17,31",true
Corsair SP120 ELITE,14.99,https://pcpartpicker.com/product/JGstt6/corsair-sp120-elite-454-cfm-120-mm-fan-co-9050161-ww,120,Black,"300,1300","6.37,45.4","5,20.6",true
Noctua F12 PWM chromax.black.swap,24.75,https://pcpartpicker.com/product/cFwqqs/noctua-nf-f12-pwm-chromaxblackswap-550-cfm-120mm-fan-nf-f12-pwm-chromaxblackswap,120,Multicolor,"300,1500",54.97,22.4,true
