name,price,href,capacity,price_per_gb,type,cache,form_factor,interface
Patriot P300,19.98,https://pcpartpicker.com/product/rWxbt6/patriot-p300-256-gb-m2-2280-nvme-solid-state-drive-p300p256gm28,256,0.078,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial T700,209.99,https://pcpartpicker.com/product/8hkH99/crucial-t700-2-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-ct2000t700ssd3,2000,0.105,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Kingston Fury Renegade,149,https://pcpartpicker.com/product/FyZ9TW/kingston-fury-renegade-2-tb-m2-2280-nvme-solid-state-drive-sfyrd2000g,2000,0.074,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3,111.67,https://pcpartpicker.com/product/dBBG3C/crucial-p3-2-tb-m2-2280-nvme-solid-state-drive-ct2000p3ssd8,2000,0.056,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial T500,145.91,https://pcpartpicker.com/product/M8yH99/crucial-t500-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-ct2000t500ssd8,2000,0.073,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MS30,46.99,https://pcpartpicker.com/product/XZhKHx/team-ms30-1-tb-m2-2280-solid-state-drive-tm8ps7001t0c101,1000,0.047,SSD,,M.2-2280,M.2 SATA
Samsung 990 Pro w/Heatsink,339.99,https://pcpartpicker.com/product/VWxRsY/samsung-990-pro-heatsink-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-mz-v9p4t0cw,4000,0.085,SSD,4096,M.2-2280,M.2 PCIe 4.0 X4
Crucial MX500,80.98,https://pcpartpicker.com/product/h3tQzy/crucial-mx500-1tb-25-solid-state-drive-ct1000mx500ssd1,1000,0.081,SSD,1024,2.5,SATA 6.0 Gb/s
Western Digital Gold,529.99,https://pcpartpicker.com/product/mtdG3C/western-digital-gold-24-tb-35-7200-rpm-internal-hard-drive-wd241kryz,24000,0.022,7200,512,3.5,SATA 6.0 Gb/s
Samsung 980 Pro w/Heatsink,149.99,https://pcpartpicker.com/product/fVC48d/samsung-980-pro-heatsink-2-tb-m2-2280-nvme-solid-state-drive-mz-v8p2t0cw,2000,0.075,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Patriot P300,32.99,https://pcpartpicker.com/product/2T848d/patriot-p300-512-gb-m2-2280-nvme-solid-state-drive-p300p512gm28,512,0.064,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial T705,279.99,https://pcpartpicker.com/product/WVP8TW/crucial-t705-2-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-ct2000t705ssd3,2000,0.14,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Western Digital Blue,64.98,https://pcpartpicker.com/product/gHNxFT/western-digital-wd-blue-2-tb-35-7200rpm-internal-hard-drive-wd20ezbx,2000,0.032,7200,256,3.5,SATA 6.0 Gb/s
Corsair MP600 PRO NH,951.8,https://pcpartpicker.com/product/T8LFf7/corsair-mp600-pro-nh-8-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-cssd-f8000gbmp600pnh,8000,0.119,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate IronWolf Pro,118.99,https://pcpartpicker.com/product/vXH8TW/seagate-ironwolf-pro-4-tb-35-7200rpm-internal-hard-drive-st4000ne001,4000,0.03,7200,256,3.5,SATA 6.0 Gb/s
