name,price,href,chipset,memory,core_clock,boost_clock,color,length
Inno3D Twin X2 OC,584.9,https://pcpartpicker.com/product/NXYRsY/inno3d-twin-x2-oc-geforce-rtx-4060-ti-16-gb-video-card-n406t2-16d6x-178055w,GeForce RTX 4060 Ti,16,2310,2595,White / Silver,250
Asus STRIX GAMING,,https://pcpartpicker.com/product/4fTzK8/asus-geforce-rtx-3090-24-gb-strix-gaming-video-card-rog-strix-rtx3090-24g-gaming,GeForce RTX 3090,24,1395,1725,Black,318
Zotac ZT-P10300A-10L,106.76,https://pcpartpicker.com/product/b4KhP6/zotac-geforce-gt-1030-2gb-video-card-zt-p10300a-10l,GeForce GT 1030,2,1227,1468,Black,173
Gigabyte GAMING OC,,https://pcpartpicker.com/product/LXjJ7P/gigabyte-geforce-gtx-1660-6-gb-gaming-oc-video-card-gv-n1660gaming-oc-6gd,GeForce GTX 1660,6,1530,1860,Black / Gray,280
MSI AERO ITX OC,,https://pcpartpicker.com/product/8fgPxr/msi-geforce-gtx-1070-8gb-video-card-gtx-1070-aero-itx-8g-oc,GeForce GTX 1070,8,1531,1721,Black / White,175
GALAX (1-click OC),,https://pcpartpicker.com/product/sDFmP6/galax-1-click-oc-geforce-rtx-4070-ti-super-16-gb-video-card-47uzm6md6mer,GeForce RTX 4070 Ti SUPER,16,2340,2670,Black,320
MSI DUKE OC,499,https://pcpartpicker.com/product/49YWGX/msi-geforce-gtx-1080-8gb-duke-oc-video-card-gtx-1080-duke-8g-oc,GeForce GTX 1080,8,1708,1847,Black / Beige,312
MSI Geforce GTX 1080 GAMING 8G,,https://pcpartpicker.com/product/rztQzy/msi-geforce-gtx-1080-8-gb-gaming-video-card-gtx-1080-gaming-8g,GeForce GTX 1080,8,1607,1771,Black / Red,279
XFX RX-79GMERCBR,549.99,https://pcpartpicker.com/product/DNHqqs/xfx-rx-79gmercbr-radeon-rx-7900-gre-16-gb-video-card-rx-79gmercbr,Radeon RX 7900 GRE,16,1270,2395,Black,335
MSI VENTUS 2X BLACK,310.62,https://pcpartpicker.com/product/xp3NnQ/msi-ventus-2x-black-geforce-rtx-4060-8-gb-video-card-rtx-4060-ventus-2x-black-8g,GeForce RTX 4060,8,1830,2475,Black,199
MSI VENTUS 2X OC,399.99,https://pcpartpicker.com/product/qJZ9TW/msi-geforce-rtx-3050-8gb-8-gb-ventus-2x-oc-video-card-geforce-rtx-3050-ventus-2x-8g-oc,GeForce RTX 3050 8GB,8,1550,,Black,235
AMD 100-300000006,959.86,https://pcpartpicker.com/product/pJDQzy/amd-100-300000006-radeon-pro-w7700-16-gb-video-card-100-300000006,Radeon PRO W7700,16,1900,2600,,241
Zotac GAMING Trinity,,https://pcpartpicker.com/product/7JfxFT/zotac-gaming-trinity-geforce-rtx-4070-12-gb-video-card-zt-d40700d-10p,GeForce RTX 4070,12,1920,2475,Black,307
Asus ROG STRIX GAMING,479.99,https://pcpartpicker.com/product/hspQzy/asus-rog-strix-gaming-geforce-rtx-4060-ti-8-gb-video-card-rog-strix-rtx4060ti-8g-gaming,GeForce RTX 4060 Ti,8,2310,2565,Black / Red,311
ASRock Phantom Gaming D OC,,https://pcpartpicker.com/product/P36qqs/asrock-radeon-rx-6800-16-gb-phantom-gaming-d-oc-video-card-rx6800-pgd-16go,Radeon RX 6800,16,1700,,Black / Silver,305
PowerColor Red Dragon OC,,https://pcpartpicker.com/product/Kq6qqs/powercolor-radeon-rx-6800-16-gb-red-dragon-oc-video-card-axrx-6800-16gbd6-3dhroc,Radeon RX 6800,16,1700,2170,Black,310
Sapphire NITRO+,1299.99,https://pcpartpicker.com/product/fpZzK8/sapphire-radeon-rx-6900-xt-16-gb-nitro-video-card-11308-01-20g,Radeon RX 6900 XT,16,1825,2285,Black / Silver,310
PowerColor Hellhound,289.99,https://pcpartpicker.com/product/zspQzy/powercolor-hellhound-radeon-rx-7600-xt-8-gb-video-card-rx7600-8g-loc,Radeon RX 7600,8,1720,2655,Black,234
PowerColor Red Devil OC,,https://pcpartpicker.com/product/WLpQzy/powercolor-red-devil-oc-radeon-rx-7700-xt-12-gb-video-card-rx-7700-xt-12g-eoc,Radeon RX 7700 XT,12,1700,2599,Black,332
PNY VCQP1000-PB,140.99,https://pcpartpicker.com/product/86H48d/pny-quadro-p1000-4gb-video-card-vcqp1000-pb,Quadro P1000,4,1354,1455,Black,145
PNY T-Series,383.76,https://pcpartpicker.com/product/T6wypg/pny-t1000-8gb-8-gb-t-series-video-card-vcnt10008gb-pb,T1000 8GB,8,1065,1395,Black / Gray,156
ASRock Phantom Gaming OC,377,https://pcpartpicker.com/product/T3wmP6/asrock-phantom-gaming-oc-radeon-rx-7600-xt-8-gb-video-card-rx7600-pg-8go,Radeon RX 7600,8,1720,2755,Black,305
EVGA 02G-P4-3751-KR,,https://pcpartpicker.com/product/YxyFf7/evga-video-card-02gp43751kr,GeForce GTX 750 Ti,2,1020,1085,Black / Silver,170
Gigabyte GAMING OC,,https://pcpartpicker.com/product/qMKcCJ/gigabyte-geforce-rtx-2080-8gb-gaming-oc-video-card-gv-n2080gaming-oc-8gc,GeForce RTX 2080,8,1515,,Black,286
