name,price,href,core_count,core_clock,boost_clock,micro_architecture,tdp,graphics,socket
AMD Ryzen 7 5700G,167.83,https://pcpartpicker.com/product/ycGbt6/amd-ryzen-7-5700g-38-ghz-8-core-processor-100-100000263box,8,3.8,4.6,Zen 3,65,Radeon Vega 8,LGA1700
Intel Core i5-13600KF,249.99,https://pcpartpicker.com/product/GVM48d/intel-core-i5-13600kf-35-ghz-14-core-processor-bx8071513600kf,14,3.5,5.1,Raptor Lake,125,,AM5
AMD Ryzen 5 9600X,279,https://pcpartpicker.com/product/4r4Zxr/amd-ryzen-5-9600x-39-ghz-6-core-processor-100-100001405wof,6,3.9,5.4,Zen 5,65,Radeon,LGA1700
Intel Core i9-14900KF,526,https://pcpartpicker.com/product/YJRwrH/intel-core-i9-14900kf-32-ghz-24-core-processor-bx8071514900kf,24,3.2,6,Raptor Lake Refresh,125,,AM5
AMD Ryzen 9 9900X,449,https://pcpartpicker.com/product/Z6GhP6/amd-ryzen-9-9900x-44-ghz-12-core-processor-100-100000662wof,12,4.4,5.6,Zen 5,120,Radeon,LGA1700
Intel Core i5-14600K,299.99,https://pcpartpicker.com/product/jXFmP6/intel-core-i5-14600k-35-ghz-14-core-processor-bx8071514600k,14,3.5,5.3,Raptor Lake Refresh,125,Intel UHD Graphics 770,AM4
AMD Ryzen 3 4100,66.56,https://pcpartpicker.com/product/drBG3C/amd-ryzen-3-4100-38-ghz-quad-core-processor-100-100000510box,4,3.8,4,Zen 2,65,,AM5
AMD Ryzen 7 8700G,268.98,https://pcpartpicker.com/product/K4vD4D/amd-ryzen-7-8700g-42-ghz-8-core-processor-100-100001236box,8,4.2,5.1,Zen 4,65,Radeon 780M,LGA1200
Intel Core i5-10400F,99.75,https://pcpartpicker.com/product/vrhmP6/intel-core-i5-10400f-29-ghz-6-core-processor-bx8070110400f,6,2.9,4.3,Comet Lake,65,,LGA1700
Intel Core i5-14400F,199.99,https://pcpartpicker.com/product/QkP8TW/intel-core-i5-14400f-25-ghz-10-core-processor-bx8071514400f,10,2.5,4.7,Raptor Lake Refresh,65,,LGA1700
Intel Core i5-12400,136.57,https://pcpartpicker.com/product/tLKKHx/intel-core-i5-12400-25-ghz-6-core-processor-bx8071512400,6,2.5,4.4,Alder Lake,65,Intel UHD Graphics 730,AM4
AMD Ryzen 5 2600,140,https://pcpartpicker.com/product/jLF48d/amd-ryzen-5-2600-34ghz-6-core-processor-yd2600bbafbox,6,3.4,3.9,Zen+,65,,AM4
AMD Ryzen 5 4600G,104,https://pcpartpicker.com/product/CNVmP6/amd-ryzen-5-4600g-37-ghz-6-core-processor-100-100000147box,6,3.7,4.2,Zen 2,65,Radeon Vega 7,LGA1700
Intel Core i9-12900KF,294.99,https://pcpartpicker.com/product/2sstt6/intel-core-i9-12900kf-32-ghz-8-core-processor-bx8071512900kf,16,3.2,5.2,Alder Lake,125,,LGA1151
Intel Core i7-9700K,223,https://pcpartpicker.com/product/WtyV3C/intel-core-i7-9700k-36ghz-8-core-processor-bx80684i79700k,8,3.6,4.9,Coffee Lake Refresh,95,Intel UHD Graphics 630,AM5
AMD Ryzen 5 7500F,,https://pcpartpicker.com/product/ms4Zxr/amd-ryzen-5-7500f-37-ghz-6-core-oemtray-processor-100-000000597,6,3.7,5,Zen 4,65,,AM5
AMD Ryzen 9 7900,368.18,https://pcpartpicker.com/product/P3cG3C/amd-ryzen-9-7900-36-ghz-12-core-processor-100-100000590box,12,3.6,5.4,Zen 4,65,Radeon,AM4
AMD Ryzen 3 3200G,77.87,https://pcpartpicker.com/product/J8drxr/amd-ryzen-3-3200g-36-ghz-quad-core-processor-yd3200c5fhbox,4,3.6,4,Zen+,65,Radeon Vega 8,LGA1700
Intel Core i5-14600KF,293,https://pcpartpicker.com/product/zyyH99/intel-core-i5-14600kf-35-ghz-14-core-processor-bx8071514600kf,14,3.5,5.3,Raptor Lake Refresh,125,,LGA1151
