name,price,href,type,efficiency,wattage,modular,color
Asus ROG THOR P2 Gaming,324.99,https://pcpartpicker.com/product/Fcstt6/asus-rog-thor-p2-gaming-1200-w-80-platinum-certified-fully-modular-atx-power-supply-rog-thor-1200p2-gaming,ATX,platinum,1200,Full,Silver / Black
be quiet! Pure Power 12 M,97.94,https://pcpartpicker.com/product/Yp9wrH/be-quiet-pure-power-12-m-750-w-80-gold-certified-fully-modular-atx-power-supply-bn504,ATX,gold,750,Full,Black
NZXT C1200,189.99,https://pcpartpicker.com/product/RHfnTW/nzxt-c1200-1200-w-80-gold-certified-fully-modular-atx-power-supply-pa-2g1bb-us,ATX,gold,1200,Full,Black
Thermaltake Toughpower GF3 TT Premium,109.99,https://pcpartpicker.com/product/phVmP6/thermaltake-toughpower-gf3-tt-premium-850-w-80-gold-certified-fully-modular-atx-power-supply-ps-tpd-0850fnfagu-4,ATX,gold,850,Full,Black
Corsair CX750M (2021),79.98,https://pcpartpicker.com/product/JkKKHx/corsair-cx750m-2021-750-w-80-bronze-certified-semi-modular-atx-power-supply-cp-9020222-na,ATX,bronze,750,Semi,Black
MSI A1000G PCIE5,179,https://pcpartpicker.com/product/ZDt9TW/msi-a1000g-pcie5-1000-w-80-gold-certified-fully-modular-atx-power-supply-mpg-a1000g-pcie-5,ATX,gold,1000,Full,Black
Gigabyte UD850GM,94.99,https://pcpartpicker.com/product/VTgFf7/gigabyte-ud850gm-850-w-80-gold-certified-fully-modular-atx-power-supply-gp-ud850gm,ATX,gold,850,Full,Black
NZXT C1000 (2022),129.99,https://pcpartpicker.com/product/43JgXL/nzxt-c-2022-1000-w-80-gold-certified-fully-modular-atx-power-supply-pa-0g1bb-us,ATX,gold,1000,Full,Black
SeaSonic FOCUS GX,109.99,https://pcpartpicker.com/product/97848d/seasonic-focus-gx-750-w-80-gold-certified-fully-modular-atx-power-supply-focus-gx-750,ATX,gold,750,Full,Black
Corsair SF1000L,139.99,https://pcpartpicker.com/product/GMbRsY/corsair-sf1000l-1000-w-80-gold-certified-fully-modular-sfx-power-supply-cp-9020246-na,SFX,gold,1000,Full,Black
Corsair CV550,,https://pcpartpicker.com/product/HcgQzy/corsair-cv550-550-w-80-bronze-certified-atx-power-supply-cp-9020210-na,ATX,bronze,550,false,Black
MSI MAG A750BN PCIE5,84.99,https://pcpartpicker.com/product/bpvD4D/msi-mag-a750bn-pcie5-750-w-80-bronze-certified-atx-power-supply-mag-a750bn-pcie5,ATX,bronze,750,false,Black
Thermaltake Toughpower GF A3 Snow,174.98,https://pcpartpicker.com/product/X9XV3C/thermaltake-toughpower-gf-a3-snow-1050-w-80-gold-certified-fully-modular-atx-power-supply-ps-tpd-1050fnfagu-n,ATX,gold,1050,Full,White
Cooler Master MWE GOLD 750 V2 FULL MODULAR,115.42,https://pcpartpicker.com/product/sscG3C/cooler-master-mwe-gold-v2-750-w-80-gold-certified-fully-modular-atx-power-supply-mpe-7501-afaag-us,ATX,gold,750,Full,Black
Thermaltake Smart,54.99,https://pcpartpicker.com/product/b8Jkcf/thermaltake-smart-700w-80-certified-semi-modular-atx-power-supply-ps-spd-0700npcwus-w,ATX,plus,700,false,
Lian Li EDGE,174.99,https://pcpartpicker.com/product/WX4Zxr/lian-li-edge-1000-w-80-platinum-certified-fully-modular-atx-power-supply-eg1000-white,ATX,platinum,1000,Full,White
SeaSonic FOCUS GX-850 ATX 3.0,169.99,https://pcpartpicker.com/product/bNBzK8/seasonic-focus-gx-850-atx-30-850-w-80-gold-certified-fully-modular-atx-power-supply-atx3-focus-gx-850,ATX,gold,850,Full,Black
EVGA SuperNOVA 750 GT,99.99,https://pcpartpicker.com/product/J9drxr/evga-supernova-750-gt-750-w-80-gold-certified-fully-modular-atx-power-supply-220-gt-0750-y1,ATX,gold,750,Full,Black
be quiet! Pure Power 12 M,139.9,https://pcpartpicker.com/product/fKHqqs/be-quiet-pure-power-12-m-1000-w-80-gold-certified-fully-modular-atx-power-supply-bn506,ATX,gold,1000,Full,Black
be quiet! Straight Power 12,169.9,https://pcpartpicker.com/product/NyxxFT/be-quiet-straight-power-12-1000-w-80-platinum-certified-fully-modular-atx-power-supply-bn338,ATX,platinum,1000,Full,Black
Corsair SF750 (2018),229,https://pcpartpicker.com/product/nJrmP6/corsair-sf750-2018-750-w-80-platinum-certified-fully-modular-sfx-power-supply-cp-9020186-na,SFX,platinum,750,Full,Black
EVGA 600 GD,74.98,https://pcpartpicker.com/product/Xgwkcf/evga-600-gd-600-w-80-gold-certified-atx-power-supply-100-gd-0600-v1,ATX,gold,600,false,Black
Lian Li SP750,132.38,https://pcpartpicker.com/product/XNt9TW/lian-li-sp750-750-w-80-gold-certified-fully-modular-sfx-power-supply-sp750w,SFX,gold,750,Full,White
Gigabyte P450B,58.66,https://pcpartpicker.com/product/LZMTwP/gigabyte-p-b-450-w-80-bronze-certified-atx-power-supply-gp-p450b,ATX,bronze,450,false,Black
Thermaltake Toughpower GF1 (2024),94.99,https://pcpartpicker.com/product/kVyH99/thermaltake-toughpower-gf1-2024-850-w-80-gold-certified-fully-modular-atx-power-supply-ps-tpd-0850fnfagu-p,ATX,gold,850,Full,Black
be quiet! Pure Power 12 M,84.99,https://pcpartpicker.com/product/ZnTZxr/be-quiet-pure-power-12-m-650-w-80-gold-certified-fully-modular-atx-power-supply-bn503,ATX,gold,650,Full,Black
Apevia CAPTAIN,31.99,https://pcpartpicker.com/product/rqmmP6/apevia-captain-550-w-atx-power-supply-captain550,ATX,,550,false,Black
Corsair HX1000i (2023),234.99,https://pcpartpicker.com/product/LTmNnQ/corsair-hx1000i-2023-1000-w-80-platinum-certified-fully-modular-atx-power-supply-cp-9020259-na,ATX,platinum,1000,Full,Black
be quiet! Dark Power 13,179.9,https://pcpartpicker.com/product/42FmP6/be-quiet-dark-power-13-850-w-80-titanium-certified-fully-modular-atx-power-supply-bn660,ATX,titanium,850,Full,Black
Gigabyte UD1000GM PG5 (rev. 2.0),129.99,https://pcpartpicker.com/product/4fV2FT/gigabyte-ud1000gm-pg5-rev-20-1000-w-80-gold-certified-fully-modular-atx-power-supply-gp-ud1000gm-pg5-20,ATX,gold,1000,Full,Black
Corsair CV650,,https://pcpartpicker.com/product/cY2bt6/corsair-cv650-650-w-80-bronze-certified-atx-power-supply-cp-9020236-na,ATX,bronze,650,false,Black
Asus TUF Gaming 850G,129.99,https://pcpartpicker.com/product/MLzhP6/asus-tuf-gaming-850g-850-w-80-gold-certified-fully-modular-atx-power-supply-90ye00s2-b0na00,ATX,gold,850,Full,Black
MSI MPG A750GF,95.99,https://pcpartpicker.com/product/v3VG3C/msi-mpg-a750gf-750-w-80-gold-certified-fully-modular-atx-power-supply-mpg-a750gf,ATX,gold,750,Full,Black
