name,price,href,speed,modules,price_per_gb,color,first_word_latency,cas_latency
G.Skill Ripjaws V 32 GB,64.98,https://pcpartpicker.com/product/zcH8TW/gskill-ripjaws-v-32-gb-2-x-16-gb-ddr4-3600-memory-f4-3600c16d-32gvkc,"4,3600","2,16",2.031,Black,8.889,16
Corsair Vengeance RGB 128 GB,424.99,https://pcpartpicker.com/product/PNsV3C/corsair-vengeance-rgb-128-gb-4-x-32-gb-ddr5-5600-cl40-memory-cmh128gx5m4b5600c40,"5,5600","4,32",3.32,Black,14.286,40
TEAMGROUP T-Force Vulcan 32 GB,87.99,https://pcpartpicker.com/product/kgwmP6/teamgroup-t-force-vulcan-32-gb-2-x-16-gb-ddr5-6000-cl38-memory-flbd532g6000hc38adc01,"5,6000","2,16",2.75,Black,12.667,38
G.Skill Trident Z5 RGB 32 GB,109.99,https://pcpartpicker.com/product/mfhv6h/gskill-trident-z5-rgb-32-gb-2-x-16-gb-ddr5-6400-cl32-memory-f5-6400j3239g16gx2-tz5rw,"5,6400","2,16",3.437,White / Black,10,32
Corsair Vengeance RGB Pro SL 32 GB,76,https://pcpartpicker.com/product/bjjNnQ/corsair-vengeance-rgb-pro-sl-32-gb-2-x-16-gb-ddr4-3600-cl18-memory-cmh32gx4m2d3600c18w,"4,3600","2,16",2.375,White / Black,10,18
TEAMGROUP T-Create Expert 32 GB,85.99,https://pcpartpicker.com/product/cY9wrH/teamgroup-t-create-expert-32-gb-2-x-16-gb-ddr5-6000-cl38-memory-ctced532g6000hc38adc01,"5,6000","2,16",2.687,Black,12.667,38
G.Skill Trident Z RGB 32 GB,79.99,https://pcpartpicker.com/product/dHjJ7P/gskill-trident-z-rgb-32gb-2-x-16gb-ddr4-3200-memory-f4-3200c16d-32gtzrx,"4,3200","2,16",2.5,Black,10,16
Corsair Vengeance 32 GB,97.99,https://pcpartpicker.com/product/YBWzK8/corsair-vengeance-32-gb-2-x-16-gb-ddr5-5200-cl40-memory-cmk32gx5m2b5200c40,"5,5200","2,16",3.062,Black,15.385,40
Corsair Vengeance 64 GB,201.98,https://pcpartpicker.com/product/pnQKHx/corsair-vengeance-64-gb-2-x-32-gb-ddr5-6400-cl32-memory-cmk64gx5m2b6400c32,"5,6400","2,32",3.156,Black / Gray,10,32
TEAMGROUP T-Force Delta RGB 16 GB,43.99,https://pcpartpicker.com/product/TBfFf7/team-t-force-delta-rgb-16-gb-2-x-8-gb-ddr4-3600-cl18-memory-tf4d416g3600hc18jdc01,"4,3600","2,8",2.749,White,10,18
Corsair Vengeance 32 GB,104.99,https://pcpartpicker.com/product/GpNYcf/corsair-vengeance-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-cmk32gx5m2e6000z36,"5,6000","2,16",3.281,Black,12,36
G.Skill Aegis 16 GB,29.99,https://pcpartpicker.com/product/mcH8TW/gskill-aegis-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-f4-3200c16d-16gis,"4,3200","2,8",1.874,Red / Black,10,16
G.Skill Trident Z5 RGB 32 GB,129.99,https://pcpartpicker.com/product/qxXJ7P/gskill-trident-z5-rgb-32-gb-2-x-16-gb-ddr5-7200-cl34-memory-f5-7200j3445g16gx2-tz5rk,"5,7200","2,16",4.062,Black,9.444,34
TEAMGROUP T-Force Vulcan Z 32 GB,50.99,https://pcpartpicker.com/product/bcnypg/team-t-force-vulcan-z-32-gb-2-x-16-gb-ddr4-3200-cl16-memory-tlzgd432g3200hc16fdc01,"4,3200","2,16",1.593,Gray,10,16
Silicon Power XPOWER Zenith Gaming 32 GB,88.97,https://pcpartpicker.com/product/ypRwrH/silicon-power-xpower-zenith-gaming-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-sp032gxlwu60afdg,"5,6000","2,16",2.78,White,10,30
Corsair Vengeance 32 GB,97.99,https://pcpartpicker.com/product/CMrRsY/corsair-vengeance-32-gb-2-x-16-gb-ddr5-4800-cl40-memory-cmk32gx5m2a4800c40,"5,4800","2,16",3.062,Black,16.667,40
Kingston FURY Beast 32 GB,109.99,https://pcpartpicker.com/product/q7LdnQ/kingston-fury-beast-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-kf560c30bbek2-32,"5,6000","2,16",3.437,Black,10,30
G.Skill Trident Z5 Neo RGB 64 GB,204.99,https://pcpartpicker.com/product/hRQcCJ/gskill-trident-z5-neo-rgb-64-gb-2-x-32-gb-ddr5-6000-cl30-memory-f5-6000j3040g32gx2-tz5nr,"5,6000","2,32",3.203,Black / Silver,10,30
G.Skill Trident Z 32 GB,754.94,https://pcpartpicker.com/product/vGpzK8/gskill-trident-z-32-gb-2-x-16-gb-ddr5-6000-cl40-memory-f5-6000u4040e16ga2-tz5s,"5,6000","2,16",23.592,White / Black,13.333,40
Crucial Pro 32 GB,51.43,https://pcpartpicker.com/product/FRKscf/crucial-pro-32-gb-2-x-16-gb-ddr4-3200-cl22-memory-cp2k16g4dfra32a,"4,3200","2,16",1.607,Black,13.75,22
Kingston FURY Beast RGB 32 GB,116.99,https://pcpartpicker.com/product/F6Tp99/kingston-fury-beast-rgb-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-kf560c36bbeak2-32,"5,6000","2,16",3.656,Black,12,36
Silicon Power SP016GBLFU320B22 16 GB,27.79,https://pcpartpicker.com/product/jfqPxr/silicon-power-sp016gblfu320b22-16-gb-2-x-8-gb-ddr4-3200-cl22-memory-sp016gblfu320b22,"4,3200","2,8",1.737,,13.75,22
G.Skill Trident Z5 RGB 48 GB,349.99,https://pcpartpicker.com/product/2VCZxr/gskill-trident-z5-rgb-48-gb-2-x-24-gb-ddr5-8400-cl40-memory-f5-8400j4052g24gx2-tz5rk,"5,8400","2,24",7.291,Black,9.524,40
Corsair Dominator Titanium 32 GB,167.99,https://pcpartpicker.com/product/vTjRsY/corsair-dominator-titanium-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-cmp32gx5m2b6000c30w,"5,6000","2,16",5.25,White,10,30
Corsair Vengeance RGB Pro 16 GB,56.99,https://pcpartpicker.com/product/vfDJ7P/corsair-vengeance-rgb-pro-16gb-2-x-8gb-ddr4-3200-memory-cmw16gx4m2c3200c16w,"4,3200","2,8",3.562,White,10,16
Corsair Vengeance RGB 32 GB,103.99,https://pcpartpicker.com/product/j6sV3C/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-6400-cl36-memory-cmh32gx5m2b6400c36,"5,6400","2,16",3.25,Black,11.25,36
Corsair Vengeance RGB 64 GB,219.99,https://pcpartpicker.com/product/Nn9wrH/corsair-vengeance-rgb-64-gb-2-x-32-gb-ddr5-6000-cl30-memory-cmh64gx5m2b6000c30w,"5,6000","2,32",3.437,White / Silver,10,30
G.Skill Trident Z RGB 16 GB,47.99,https://pcpartpicker.com/product/6jBTwP/gskill-trident-z-rgb-16gb-2-x-8gb-ddr4-3600-memory-f4-3600c18d-16gtzrx,"4,3600","2,8",2.999,Black,10,18
Corsair Vengeance 32 GB,109.99,https://pcpartpicker.com/product/4kmmP6/corsair-vengeance-32-gb-2-x-16-gb-ddr5-5600-cl36-memory-cmk32gx5m2b5600c36,"5,5600","2,16",3.437,Black,12.857,36
Corsair Vengeance 64 GB,214.99,https://pcpartpicker.com/product/8ZQKHx/corsair-vengeance-64-gb-2-x-32-gb-ddr5-6000-cl30-memory-cmk64gx5m2b6000c30,"5,6000","2,32",3.359,Black / Gray,10,30
TEAMGROUP T-Create Classic 32 GB,80.98,https://pcpartpicker.com/product/qk9wrH/teamgroup-t-create-classic-32-gb-2-x-16-gb-ddr5-5600-cl46-memory-ctccd532g5600hc46dc01,"5,5600","2,16",2.531,Black,16.429,46
Corsair Vengeance 32 GB,107.49,https://pcpartpicker.com/product/g2FmP6/corsair-vengeance-32-gb-2-x-16-gb-ddr5-6400-cl32-memory-cmk32gx5m2b6400c32,"5,6400","2,16",3.359,Black,10,32
Corsair Vengeance RGB 192 GB,689.99,https://pcpartpicker.com/product/xrV2FT/corsair-vengeance-rgb-192-gb-4-x-48-gb-ddr5-5200-cl38-memory-cmh192gx5m4b5200c38,"5,5200","4,48",3.594,Black,14.615,38
TEAMGROUP T-Force Delta RGB 32 GB,67.98,https://pcpartpicker.com/product/P7RYcf/team-t-force-delta-rgb-32-gb-2-x-16-gb-ddr4-3600-cl18-memory-tf3d432g3600hc18jdc01,"4,3600","2,16",2.124,Black,10,18
Corsair Vengeance LPX 8 GB,18.98,https://pcpartpicker.com/product/sMbkcf/corsair-memory-cmk8gx4m1a2400c16,"4,2400","1,8",2.373,Black / Yellow,13.333,16
G.Skill Ripjaws S5 32 GB,102.99,https://pcpartpicker.com/product/YcZ9TW/gskill-ripjaws-s5-32-gb-2-x-16-gb-ddr5-6400-cl32-memory-f5-6400j3239g16gx2-rs5k,"5,6400","2,16",3.218,Black,10,32
Kingston FURY Beast 16 GB,62.99,https://pcpartpicker.com/product/zvPQzy/kingston-fury-beast-16-gb-2-x-8-gb-ddr5-6000-cl40-memory-kf560c40bbk2-16,"5,6000","2,8",3.937,Black,13.333,40
TEAMGROUP T-Force Delta RGB 32 GB,102.99,https://pcpartpicker.com/product/9CcgXL/teamgroup-t-force-delta-rgb-32-gb-2-x-16-gb-ddr5-6400-cl32-memory-ff3d532g6400hc32adc01,"5,6400","2,16",3.218,Black,10,32
Patriot Viper Venom 32 GB,83.99,https://pcpartpicker.com/product/8fWzK8/patriot-viper-venom-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-pvv532g600c36k,"5,6000","2,16",2.625,Black / White,12,36
Corsair Vengeance 32 GB,112.49,https://pcpartpicker.com/product/sQfxFT/corsair-vengeance-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-cmk32gx5m2b6000z30,"5,6000","2,16",3.515,Black / Silver,10,30
Silicon Power XPOWER Turbine 32 GB,47.97,https://pcpartpicker.com/product/w98bt6/silicon-power-xpower-turbine-32-gb-2-x-16-gb-ddr4-3200-cl16-memory-sp032gxlzu320bda,"4,3200","2,16",1.499,Blue,10,16
