name,price,href,rpm,noise_level,color,size
ID-COOLING FROSTFLOW X LITE,,https://pcpartpicker.com/product/qzwmP6/id-cooling-frostflow-x-lite-7616-cfm-liquid-cpu-cooler-frostflow-x-120-lite,"700,1800",35.2,Black,120
ID-COOLING SE-224-XTS ARGB,,https://pcpartpicker.com/product/jVQKHx/id-cooling-se-224-xts-argb-70-cfm-cpu-cooler-se-224-xts-argb-white,"600,1500",28.9,White,
YEYIAN Storm 1200,,https://pcpartpicker.com/product/vNwmP6/yeyian-storm-1200-5118-cfm-cpu-cooler-ac1200,"1000,1800",26.3,Black / Silver,
Thermalright Frozen Notte ARGB V2,,https://pcpartpicker.com/product/z2cgXL/thermalright-frozen-notte-argb-v2-7237-cfm-liquid-cpu-cooler-frozen-notte-360-black-argb-v2,2000,27.7,Black,360
Silverstone NT07-AM2,21.09,https://pcpartpicker.com/product/6PBv6h/silverstone-cpu-cooler-nt07am2,"1500,2500","15,25",,
Dynatron A49,49.99,https://pcpartpicker.com/product/HVLdnQ/dynatron-a49-3503-cfm-cpu-cooler-a49,"800,1800","10.8,21.3",Silver,
Thermaltake TOUGHLIQUID ARGB,267.2,https://pcpartpicker.com/product/TWFbt6/thermaltake-toughliquid-argb-1191-cfm-liquid-cpu-cooler-cl-w320-pl14bl-a,"500,2000",33.2,Black,280
Xilence M403PRO.W.ARGB,,https://pcpartpicker.com/product/kMhv6h/xilence-m403prowargb-615-cfm-cpu-cooler-xc229,"500,1800","14.2,25.6",White,
Dynatron R15,43.95,https://pcpartpicker.com/product/pfW9TW/dynatron-cpu-cooler-r15,,,,
RAIJINTEK Orcus 140 RGW,105.76,https://pcpartpicker.com/product/yM7p99/raijintek-orcus-140-rgw-6519-cfm-liquid-cpu-cooler-0r10b00090,"400,1800",28,Black,140
RAIJINTEK THEMIS,,https://pcpartpicker.com/product/Wb4gXL/raijintek-cpu-cooler-0p105255,"1000,1500",24.53,,
Jonsbo CR-1000,,https://pcpartpicker.com/product/R4n9TW/jonsbo-cr-1000-6681-cfm-cpu-cooler-cr-1000-white,"700,1800","20.55,37.2",White,
Azza CUBE 360,99.99,https://pcpartpicker.com/product/NYwmP6/azza-cube-360-575-cfm-liquid-cpu-cooler-lcaz-360p-argb-cube,"500,2000",34,Black,360
Deepcool CASTLE 240EX,,https://pcpartpicker.com/product/q32bt6/deepcool-castle-240ex-644-cfm-liquid-cpu-cooler-castle-240ex,"500,1800",32.1,Black,240
Thermaltake Floe DX RGB 280 TT Premium Edition,178.43,https://pcpartpicker.com/product/xDTzK8/thermaltake-floe-dx-rgb-280-tt-premium-edition-6087-cfm-liquid-cpu-cooler-cl-w257-pl14sw-a,"500,1400","19.8,26.2",Black / Gray,280
Thermalright Frozen Magic ARGB,,https://pcpartpicker.com/product/Jn9wrH/thermalright-frozen-magic-argb-6617-cfm-liquid-cpu-cooler-frozen-magic-360-white-argb,1500,25.6,White,360
be quiet! Light Loop,129.9,https://pcpartpicker.com/product/cQtLrH/be-quiet-light-loop-liquid-cpu-cooler-bw020,"1500,2900","15.4,34.9",Black,240
ID-COOLING SE-207-XT ADVANCED,,https://pcpartpicker.com/product/sZNxFT/id-cooling-se-207-xt-advanced-825-cfm-cpu-cooler-se-207-xt-advanced,"700,1800","15.2,35.2",,
Thermalright Frozen Warframe ARGB,,https://pcpartpicker.com/product/XVKscf/thermalright-frozen-warframe-argb-887-cfm-liquid-cpu-cooler-frozen-warframe-420-black-argb,1750,29.8,Black,420
Xilence LQ360 ​​ARGB,,https://pcpartpicker.com/product/cpTZxr/xilence-lq360-argb-682-cfm-liquid-cpu-cooler-xc980,"500,1500","18,30.2",Black,360
Thermalright AXP-100,,https://pcpartpicker.com/product/PCGkcf/thermalright-axp-100-445-cfm-ball-bearing-cpu-cooler-axp-100,"900,2500","22,30",,
Thermaltake Water 3.0 Ultimate,,https://pcpartpicker.com/product/YKFPxr/thermaltake-water-30-ultimate-99-cfm-liquid-cpu-cooler-cl-w007-pl12bl-a,"1000,2000",20,,360
NoFan CR-95C,,https://pcpartpicker.com/product/9GfmP6/nofan-cpu-cooler-cr95c,,0,,
Thermaltake Water 3.0 Riing RGB 240,,https://pcpartpicker.com/product/TvfmP6/thermaltake-water-30-riing-rgb-240-406-cfm-liquid-cpu-cooler-cl-w107-pl12sw-a,"800,1500",26.4,,240
Thermalright Le Grand Macho RT,,https://pcpartpicker.com/product/B8rcCJ/thermalright-le-grand-macho-rt-736-cfm-cpu-cooler-le-grand-macho-rt,"300,1300","14,20",,
ARCTIC Freezer 12,,https://pcpartpicker.com/product/9BNypg/arctic-freezer-12-cpu-cooler-acfre00027a,,22.5,,
ID-COOLING AURAFLOW 240 SNOW,,https://pcpartpicker.com/product/jrMwrH/id-cooling-auraflow-240-snow-745-cfm-liquid-cpu-cooler-auraflow-240-snow,"700,1800","18,35.2",White,240
SilentiumPC Fera 3 HE1224 v2,,https://pcpartpicker.com/product/MXF48d/silentiumpc-fera-3-he1224-v2-465-cfm-cpu-cooler-fera-3-he1224-v2,"500,1600",,,
Cooler Master MasterLiquid ML240R RGB Phantom Gaming Edition,,https://pcpartpicker.com/product/NwsmP6/cooler-master-masterliquid-ml240r-rgb-phantom-gaming-edition-667-cfm-liquid-cpu-cooler-mlx-d24m-a20pc-rp,"650,2000","6,30",Black,240
GameMax Gamma 500 RGB,,https://pcpartpicker.com/product/6f9tt6/gamemax-gamma-500-rgb-5118-cfm-cpu-cooler-gamma-500-rgb,"1000,1800",26.3,Black / Silver,
ARCTIC Freezer 50 TR,,https://pcpartpicker.com/product/Xg3mP6/arctic-freezer-50-tr-cpu-cooler-acfre00055a,"200,1800",23.5,Black,
Asus ROG Strix LC 120,,https://pcpartpicker.com/product/jwqBD3/asus-rog-strix-lc-120-8095-cfm-liquid-cpu-cooler-rog-strix-lc-120,"800,2500",37.6,Black,120
upHere AC12RGB,,https://pcpartpicker.com/product/3Y2bt6/uphere-ac12rgb-cpu-cooler-ac12rgb,"600,1700","16.1,27.7",Black,
Thermaltake Riing Silent 12 RGB Sync Edition,,https://pcpartpicker.com/product/bDK2FT/thermaltake-riing-silent-12-rgb-sync-edition-53-cfm-cpu-cooler-cl-p052-al12sw-a,"300,1500","13,22",Black,
darkFlash Shadow PWM,,https://pcpartpicker.com/product/rxCFf7/darkflash-shadow-pwm-293-cfm-cpu-cooler-8541607924,"800,2500",29.6,Black,
Alpenföhn Glacier Water 240 High Speed,,https://pcpartpicker.com/product/kh7G3C/alpenfohn-glacier-water-240-high-speed-779-cfm-liquid-cpu-cooler-84000000181,"500,2200",36.8,Black,240
Thermalright Assassin King 120 Mini,,https://pcpartpicker.com/product/JxbTwP/thermalright-assassin-king-120-mini-6487-cfm-cpu-cooler-ak-120-mini,1500,25.2,Black / Silver,
ID-COOLING FROSTFLOW X 120 SNOW,,https://pcpartpicker.com/product/cc92FT/id-cooling-frostflow-x-120-snow-745-cfm-liquid-cpu-cooler-frostflow-x-120-snow,"700,1800","18,35.2",White,120
Cooler Master MasterLiquid ML360 Sub-Zero EVO,,https://pcpartpicker.com/product/kdxxFT/cooler-master-masterliquid-ml360-sub-zero-evo-752-cfm-liquid-cpu-cooler-mlz-d36m-a24pz-17,,30,Black,360
GAMDIAS BOREAS M2-510,,https://pcpartpicker.com/product/TnxxFT/gamdias-boreas-m2-510-7294-cfm-cpu-cooler-boreas-m2-510,"800,1800","10,32",Black,
Xilence M704PRO.ARGB,,https://pcpartpicker.com/product/8NMMnQ/xilence-m704proargb-8006-cfm-cpu-cooler-xc056,"800,1800","18,32.2",,
Valkyrie DRAGONFANG,,https://pcpartpicker.com/product/Mbrqqs/valkyrie-dragonfang-80-cfm-liquid-cpu-cooler-vk-gl240-white,"800,2150",29,White,240
Thermaltake TOUGHAIR 710,80.73,https://pcpartpicker.com/product/R388TW/thermaltake-toughair-710-8196-cfm-cpu-cooler-cl-p110-ca14gm-a,"300,1400","18.5,23.9",Gray,
Thermaltake TOUGHAIR 510,64.98,https://pcpartpicker.com/product/bk3gXL/thermaltake-5835-cfm-cpu-cooler-cl-p075-al12tq-a,"500,1200",23.6,Teal,
be quiet! Dark Rock Advanced C1,,https://pcpartpicker.com/product/44xfrH/be-quiet-cpu-cooler-bk014,1500,"6.6,18.8",,
Deepcool CAPTAIN 240EX RGB,,https://pcpartpicker.com/product/pp648d/deepcool-captain-240ex-rgb-15304-cfm-liquid-cpu-cooler-captain-240ex-rgb,"500,1800","17.6,31.3",,240
ID-COOLING FROSTFLOW+ 280,,https://pcpartpicker.com/product/QKZFf7/id-cooling-frostflow-280-768-cfm-liquid-cpu-cooler-frostflow-280,"800,1600","16.8,32.6",Black / White,280
Deepcool Castle 360 RGB,,https://pcpartpicker.com/product/LnDJ7P/deepcool-castle-360-rgb-6934-cfm-liquid-cpu-cooler-castle360-rgb,"500,1800",30,Black,360
CRYORIG H7 ULTRA,,https://pcpartpicker.com/product/KxFKHx/cryorig-h7-ultra-59-cfm-cpu-cooler-cr-h7ua,"300,1600",25,Black / Silver,
Zalman CNPS10X Optima II,,https://pcpartpicker.com/product/8ZJmP6/zalman-cnps10x-optima-ii-6152-cfm-cpu-cooler-cnps10x-optima-ii,"800,1500",27,White,
ID-COOLING AURAFLOW X,,https://pcpartpicker.com/product/LMwkcf/id-cooling-auraflow-x-745-cfm-liquid-cpu-cooler-auraflow-x-360,"700,1800","18,35.2",Black,360
upHere CC2402-usa,,https://pcpartpicker.com/product/XfDkcf/uphere-cc2402-usa-497-cfm-liquid-cpu-cooler-cc2402-usa,"600,1700","16.1,27.7",Black,240
RAIJINTEK THEMIS BLACK,38.08,https://pcpartpicker.com/product/k7ZzK8/raijintek-themis-black-6568-cfm-cpu-cooler-0r100010,"1000,1500",24.53,Black / Silver,
ADATA XPG LEVANTE 240,,https://pcpartpicker.com/product/9Qxbt6/adata-xpg-levante-240-615-cfm-liquid-cpu-cooler-levante240-bkcww,"600,2000",34,Black,240
SilentiumPC Fera 3 EVO ARGB,,https://pcpartpicker.com/product/hMzFf7/silentiumpc-fera-3-evo-argb-cpu-cooler-spc281,"250,1600",,White / Silver,
MSI MAG CORELIQUID P280,,https://pcpartpicker.com/product/Xkstt6/msi-mag-coreliquid-p280-8436-cfm-liquid-cpu-cooler-mag-coreliquid-p280,"500,1800","14.8,33.28",Black,280
ID-COOLING IS-27i,,https://pcpartpicker.com/product/tpC48d/id-cooling-is-27i-218-cfm-cpu-cooler-is-27i,"800,2700","14,25",,
Enermax LIQMAX III RGB,,https://pcpartpicker.com/product/7PvdnQ/enermax-liqmax-iii-rgb-721-cfm-liquid-cpu-cooler-elc-lmt120-rgb,"500,1600","14,27",Black,120
ID-COOLING SE-224-XTS MINI,,https://pcpartpicker.com/product/Wq26Mp/id-cooling-se-224-xts-mini-698-cfm-cpu-cooler-se-224-xts-mini-black,"700,1600",31.5,Black,
Sapphire NITRO+ S360-A,157.06,https://pcpartpicker.com/product/HwYRsY/sapphire-nitro-s360-a-liquid-cpu-cooler-4n005-02-20g,"405,2400","17.9,36.2",Black / Silver,360
Silverstone AR05,43.04,https://pcpartpicker.com/product/cgX2FT/silverstone-cpu-cooler-ar05,2500,"20,28.3",,
Thermaltake TOUGHLIQUID Ultra RGB,234.98,https://pcpartpicker.com/product/cYrqqs/thermaltake-toughliquid-ultra-rgb-107-cfm-liquid-cpu-cooler-cl-w371-pl14sw-a,"500,2000",30.7,Black,280
Alpenföhn Glacier Water 360 High Speed,,https://pcpartpicker.com/product/r3wypg/alpenfohn-glacier-water-360-high-speed-779-cfm-liquid-cpu-cooler-84000000182,"500,2200",36.8,Black,360
Silverstone IceGem 360,212.02,https://pcpartpicker.com/product/LbJgXL/silverstone-icegem-360-934-cfm-liquid-cpu-cooler-sst-ig360-argb,"600,2200","7.3,36.6",Black,360
Xilence M504D,86,https://pcpartpicker.com/product/VpTZxr/xilence-m504d-1112-cfm-cpu-cooler-xc044,"600,2200","14,21.8",Red / Black,
Thermaltake TH280 V2 Ultra EX ARGB Sync,,https://pcpartpicker.com/product/BktLrH/thermaltake-th280-v2-ultra-ex-argb-sync-903-cfm-liquid-cpu-cooler-cl-w416-pl14sw-a,"500,2000",30.7,Black,280
Sunbeam CR-CCTF,20.09,https://pcpartpicker.com/product/M6tCmG/sunbeam-cpu-cooler-crcctf,"1000,2000","16,20",,
Scythe BIG Shuriken 2 Rev. B,,https://pcpartpicker.com/product/GdkD4D/scythe-cpu-cooler-scbsk2100,"500,2000","9.32,33.67",,
Zalman CNPS10X OPTIMA,,https://pcpartpicker.com/product/rpTmP6/zalman-cpu-cooler-cnps10xoptima,"1000,1700","17,28",,
Cooler Master GeminII M4,,https://pcpartpicker.com/product/vfw323/cooler-master-cpu-cooler-rrgmm416pkr2,"500,1600","8,30",,
Corsair H110,,https://pcpartpicker.com/product/p94gXL/corsair-h110-94-cfm-liquid-cpu-cooler-h110,1500,35,,280
Deepcool ICE BLADE 200M,,https://pcpartpicker.com/product/9LW9TW/deepcool-cpu-cooler-iceblade200m,2200,"17.8,30.1",,
Cooler Master Hyper D92,,https://pcpartpicker.com/product/XhPzK8/cooler-master-cpu-cooler-rrhd9228pkr1,"800,2800","18,33",,
Scythe FUMA Rev.B,,https://pcpartpicker.com/product/ffKhP6/scythe-fuma-revb-79-cfm-cpu-cooler-scfm-1100,"300,1400","13,28",,
ARCTIC Freezer 33 eSports ONE (Black/White),,https://pcpartpicker.com/product/yHNv6h/arctic-freezer-33-esports-one-blackwhite-cpu-cooler-acfre00043a,"200,1800",24.4,Black / White,
ID-COOLING FROSTFLOW+ 240,,https://pcpartpicker.com/product/qr7v6h/id-cooling-frostflow-240-745-cfm-liquid-cpu-cooler-frostflow-240,"700,1800","18,35.2",Black / White,240
Antec Mercury 240 RGB,,https://pcpartpicker.com/product/BcjJ7P/antec-mercury-240-rgb-7331-cfm-liquid-cpu-cooler-mercury-240rgb,"900,1800",36,Black / White,240
SilentiumPC Navis RGB 240,,https://pcpartpicker.com/product/hs97YJ/silentiumpc-navis-rgb-240-liquid-cpu-cooler-spc219,"800,2300",,Black,240
Deepcool GAMERSTORM CAPTAIN 240X WHITE,,https://pcpartpicker.com/product/XmDkcf/deepcool-gamerstorm-captain-240x-white-644-cfm-liquid-cpu-cooler-captain-240x-white,"500,1800",32.1,White / Black,240
Cooler Master MA410P TUF Gaming Edition,,https://pcpartpicker.com/product/txQG3C/cooler-master-ma410p-tuf-gaming-edition-667-cfm-cpu-cooler-map-t4pn-afnpc-r1,"650,2000",,Yellow / Black,
ID-COOLING SE-224-XT RGB,,https://pcpartpicker.com/product/mHsnTW/id-cooling-se-224-xt-rgb-565-cfm-cpu-cooler-se-224-xt-rgb,"900,2000","16.2,31.5",Black / White,
ID-COOLING ZOOMFLOW X,,https://pcpartpicker.com/product/LJzFf7/id-cooling-zoomflow-x-62-cfm-liquid-cpu-cooler-zoomflow-360x-argb,"700,1500","18,26.4",Black,360
Scythe Mugen 5 Black Edition,,https://pcpartpicker.com/product/HhgFf7/scythe-mugen-5-black-edition-6647-cfm-cpu-cooler-scmg-5100be,"300,1500","4,29.75",Black,
Thermalright AXP-90R,,https://pcpartpicker.com/product/dxstt6/thermalright-axp-90r-co-4258-cfm-cpu-cooler-axp-90r-co,2700,22.4,Orange / Red,
MSI MAG CORELIQUID R,,https://pcpartpicker.com/product/h392FT/msi-mag-coreliquid-r-7873-cfm-liquid-cpu-cooler-mag-coreliquid-120r,"500,2000","14.3,34.3",Black,120
Thermalright Assassin X,,https://pcpartpicker.com/product/d3xRsY/thermalright-assassin-x-6617-cfm-cpu-cooler-ax-120,1500,25.6,Black / Silver,
Cooler Master Hyper 212X EU Version,,https://pcpartpicker.com/product/pKfnTW/cooler-master-hyper-212x-eu-version-546-cfm-cpu-cooler-rr-212x-17pk-r1,"600,1700","13,28.6",,
Deepcool UL551 RGB,,https://pcpartpicker.com/product/dz6NnQ/deepcool-ul551-rgb-4431-cfm-cpu-cooler-r-ul551-bkamab-g-17,"500,1800",26.8,Black,
ID-COOLING SPACE LCD,,https://pcpartpicker.com/product/6WTZxr/id-cooling-space-lcd-7616-cfm-liquid-cpu-cooler-sl240-xe-white,"500,1800",35.2,White,240
ID-COOLING SE-214-XT-RN,,https://pcpartpicker.com/product/QbQKHx/id-cooling-se-214-xt-rn-712-cfm-cpu-cooler-se-214-xt-rn,"600,2200",35,Black / Red,
Xilence LQ360.ARGB,,https://pcpartpicker.com/product/dRdG3C/xilence-lq360argb-76-cfm-liquid-cpu-cooler-xc997,"900,1850","18,28",Black,360
SilenX EFZ-92HA2,21.25,https://pcpartpicker.com/product/sKjG3C/silenx-cpu-cooler-efz92ha2,2400,"8,24",,
Cooler Master CHD-00008-01-GP,24.99,https://pcpartpicker.com/product/m3YXsY/cooler-master-cpu-cooler-chd0000801gp,2200,22,,
Thermalright SilverArrow T8,174.4,https://pcpartpicker.com/product/jd6qqs/thermalright-silverarrow-t8-9096-cfm-cpu-cooler-silverarrow-t8,"600,1800","19,25",Silver / Red,
Sapphire NITRO+ S240-A,108.44,https://pcpartpicker.com/product/hWcgXL/sapphire-nitro-s240-a-liquid-cpu-cooler-4n005-01-20g,"405,2400","17.9,36.2",Black / Silver,240
GameMax Gamma 500 ARGB,,https://pcpartpicker.com/product/WskgXL/gamemax-gamma-500-argb-5118-cfm-cpu-cooler-gamma-500-argb,"1000,1800",26.3,Black / Silver,
GAMDIAS CHIONE M2,,https://pcpartpicker.com/product/PNWzK8/gamdias-chione-m2-69-cfm-liquid-cpu-cooler-chione-m2-240-lite,1800,,Black,240
Zalman CNPS9900ALED,,https://pcpartpicker.com/product/KMtCmG/zalman-cpu-cooler-cnps9900aled,"800,2000","18,38",,
Corsair H40,,https://pcpartpicker.com/product/x4bp99/corsair-h40-liquid-cpu-cooler-h40,2000,,,120
Zalman FX70,,https://pcpartpicker.com/product/9JFPxr/zalman-cpu-cooler-fx70,,0,,
Cooler Master Nepton 120XL,,https://pcpartpicker.com/product/6jX2FT/cooler-master-nepton-120xl-76-cfm-liquid-cpu-cooler-rl-n12x-24pk-r1,2400,"6.5,27",,120
Deepcool LUCIFER K2,,https://pcpartpicker.com/product/LzNypg/deepcool-cpu-cooler-luciferk2,"600,1800","18.2,32.4",,
Thermaltake Riing Silent 12 Pro Red,,https://pcpartpicker.com/product/QRKhP6/thermaltake-cl-p021-ca12re-a-530-cfm-cpu-cooler-cl-p021-ca12re-a,"300,1400","12,19",,
Enermax ETS-T50 AXE (Black),,https://pcpartpicker.com/product/JgCrxr/enermax-ets-t50-axe-black-6232-cfm-cpu-cooler-ets-t50a-bvt,"800,1800","18.9,25",,
Antec C40,,https://pcpartpicker.com/product/LBVBD3/antec-c40-380-cfm-cpu-cooler-c40,"800,2200","16,23",,
ARCTIC Freezer 33,,https://pcpartpicker.com/product/dqjWGX/arctic-freezer-33-cpu-cooler-acfre00028a,,,,
ID-COOLING Auraflow 240 RGB,,https://pcpartpicker.com/product/y2qbt6/id-cooling-auraflow-240-rgb-745-cfm-liquid-cpu-cooler-240krgb,"700,1800","18,35.2",,240
ARCTIC Freezer 33 eSports ONE (Black/Yellow),,https://pcpartpicker.com/product/dGfhP6/arctic-freezer-33-esports-one-blackyellow-cpu-cooler-acfre00044a,"200,1800",24.4,Black / Yellow,
ARCTIC Alpine 12 Passive,,https://pcpartpicker.com/product/JY8j4D/arctic-alpine-12-passive-fanless-cpu-cooler-acalp00024a,,0,Black,
Deepcool GAMMAXX 400R,,https://pcpartpicker.com/product/MFJtt6/deepcool-gammaxx-400r-7434-cfm-cpu-cooler-deepcool-gammaxx400r,"900,1500","17.8,30",Red / Silver,
Rosewill PB240-RGB,,https://pcpartpicker.com/product/KcJtt6/rosewill-pb240-rgb-352-cfm-liquid-cpu-cooler-pb240-rgb,1500,26.8,Black,240
Enermax Aquafusion 240,,https://pcpartpicker.com/product/qP3mP6/enermax-aquafusion-240-798-cfm-liquid-cpu-cooler-elc-aqf240-sqa,"500,2000","17,32.6",Black,240
Deepcool GAMERSTORM CAPTAIN 240PRO V2,,https://pcpartpicker.com/product/Jz6qqs/deepcool-gamerstorm-captain-240pro-v2-6934-cfm-liquid-cpu-cooler-captain-240pro-v2,"500,1800",30,Black,240
Silverstone HE01-V2,,https://pcpartpicker.com/product/bTrmP6/silverstone-he01-v2-171-cfm-cpu-cooler-sst-he01-v2,"500,2000","18,41",Silver / Black,
Antec Neptune 240 ARGB,,https://pcpartpicker.com/product/szgQzy/antec-neptune-240-argb-77-cfm-liquid-cpu-cooler-neptune-240-argb,"900,1600","20,36",Black,240
Deepcool CAPTAIN 240 RGB V2,,https://pcpartpicker.com/product/DwJmP6/deepcool-captain-240-rgb-v2-6934-cfm-liquid-cpu-cooler-dp-gs-h12l-ct240rv2,"500,1800",30,Black,240
Deepcool GAMMAXX GT V2,,https://pcpartpicker.com/product/pHtKHx/deepcool-gammaxx-gt-v2-645-cfm-cpu-cooler-dp-mch4-gmx-gtv2,"500,1650",27.8,Black / Silver,
SilentiumPC Fera 3 RGB HE1224,,https://pcpartpicker.com/product/XL848d/silentiumpc-fera-3-rgb-he1224-cpu-cooler-spc204,"500,1600",,Black / Silver,
Thermalright Frost Spirit 140 RGB,,https://pcpartpicker.com/product/sKhFf7/thermalright-frost-spirit-140-rgb-778-cfm-cpu-cooler-frost-spirit-140-rgb,1500,25.6,Gray,
ARCTIC Liquid Freezer II 420 RGB,,https://pcpartpicker.com/product/mhZ9TW/arctic-liquid-freezer-ii-420-rgb-689-cfm-liquid-cpu-cooler-acfre00110a,"200,1900",22.5,Black,420
Asus TUF Gaming LC 120 RGB,,https://pcpartpicker.com/product/g7VG3C/asus-tuf-gaming-lc-120-rgb-67-cfm-liquid-cpu-cooler-90rc0081-m0aay0,"800,2000",,Black,120
Cooler Master Hyper H410R White Edition,,https://pcpartpicker.com/product/7wxRsY/cooler-master-hyper-h410r-white-edition-341-cfm-cpu-cooler-rr-h41w-20pw-r1,"600,2000","6,29",,
Alpenföhn Dolomit Advanced,,https://pcpartpicker.com/product/sV3NnQ/alpenfohn-dolomit-advanced-545-cfm-cpu-cooler-84000000184,"500,1600",23.5,Black,
Valkyrie SYN,,https://pcpartpicker.com/product/4sWJ7P/valkyrie-syn-80-cfm-liquid-cpu-cooler-vk-e240-loki,"800,2150",29,Black / Red,240
ID-COOLING SPACE LCD,,https://pcpartpicker.com/product/jrBzK8/id-cooling-space-lcd-7616-cfm-liquid-cpu-cooler-sl240-xe,"500,1800",35.2,Black,240
ID-COOLING SPACE LCD,,https://pcpartpicker.com/product/TkKscf/id-cooling-space-lcd-7616-cfm-liquid-cpu-cooler-sl360-xe-white,"500,1800",35.2,White,360
ID-COOLING SE-903-SD V3,,https://pcpartpicker.com/product/s4QKHx/id-cooling-se-903-sd-v3-3744-cfm-cpu-cooler-se-903-sd-v3,2000,23.1,Black / Silver,
Deepcool AG620 Digital ARGB,,https://pcpartpicker.com/product/jNV2FT/deepcool-ag620-digital-argb-6788-cfm-cpu-cooler-r-ag620-bkadmn-g-2,"300,1950",29.4,Black,
AQIRYS Hydra ARGB,,https://pcpartpicker.com/product/NRmNnQ/aqirys-hydra-argb-70-cfm-liquid-cpu-cooler-aqrys_hydra360b,"800,2000","25,34",Black,360
TRYX PANORAMA ARGB,,https://pcpartpicker.com/product/NQTZxr/tryx-panorama-argb-6609-cfm-liquid-cpu-cooler-l-p240a-as2m-g0w,"500,1850",27.86,White,240
Thermaltake Riing Silent 12 Red,40.94,https://pcpartpicker.com/product/3HGj4D/thermaltake-riing-silent-12-red-530-cfm-cpu-cooler-cl-p022-al12re-a,"300,1400","13,18",,
Silverstone NT07-115X,29.99,https://pcpartpicker.com/product/s4JmP6/silverstone-nt07-115x-281-cfm-cpu-cooler-sst-nt07-115x-usa,"1500,3600","21.9,34.7",Silver / Black,
Noua Alaska,,https://pcpartpicker.com/product/qNzXsY/noua-alaska-515-cfm-cpu-cooler-ac0619-ala22,"800,3000",30.5,Black,
ID-COOLING ZOOMFLOW XT V2,,https://pcpartpicker.com/product/rbQKHx/id-cooling-zoomflow-xt-v2-825-cfm-liquid-cpu-cooler-zoomflow-240-xt-v2,"500,1800","13.8,35.2",Black,240
ARCTIC Freezer 50,,https://pcpartpicker.com/product/HtzFf7/arctic-freezer-50-cpu-cooler-acfre00065a,"200,1800",,Black,
Enermax ETS-T40F-TB,,https://pcpartpicker.com/product/TJfmP6/enermax-ets-t40f-tb-4772-cfm-cpu-cooler-ets-t40f-tb,"900,1800","11,21",,
Cooler Master MasterLiquid Pro 140,,https://pcpartpicker.com/product/f9p323/cooler-master-masterliquid-pro-140-6421-cfm-liquid-cpu-cooler-mly-d14m-a22mb-r1,"650,2000","6,30",,140
GameMax Ice Chill 240,,https://pcpartpicker.com/product/Fzn8TW/gamemax-ice-chill-240-588-cfm-liquid-cpu-cooler-gmx-icechill240,"800,1900",28.8,Black,240
Alphacool Eisbaer Pro Aurora,172.5,https://pcpartpicker.com/product/GrxxFT/alphacool-eisbaer-pro-aurora-6998-cfm-liquid-cpu-cooler-11772,,31.5,Black,240
Inter-Tech ALSEYE X120,,https://pcpartpicker.com/product/8h7scf/inter-tech-alseye-x120-563-cfm-liquid-cpu-cooler-88885493,1600,35.6,Gray / Black,120
Cougar FORZA 85 ESSENTIAL,68.64,https://pcpartpicker.com/product/mFbRsY/cougar-forza-85-essential-8248-cfm-cpu-cooler-forza-85-essential,"600,2000",34.5,Black,
Xilence LQ360G.W.ARGB,,https://pcpartpicker.com/product/PrkH99/xilence-lq360gwargb-682-cfm-liquid-cpu-cooler-xc998,"500,1500","18,30.2",White,360
Thermaltake Frio,,https://pcpartpicker.com/product/xkBv6h/thermaltake-cpu-cooler-clp0564,"1200,2500","20,43",,
TUNIQ Tower 120 Extreme,,https://pcpartpicker.com/product/rHH323/tuniq-cpu-cooler-crt120exbkrv1,"1000,2000","16,20",,
Cooler Master Hyper 412 Slim,,https://pcpartpicker.com/product/4fYXsY/cooler-master-cpu-cooler-rrh41216pkr1,"500,1600","8,30",,
Deepcool GAMMAXX 200,,https://pcpartpicker.com/product/LmV48d/deepcool-cpu-cooler-gammaxx200,"900,2200","17.8,34.6",,
ARCTIC Alpine 11 GT Rev 2,,https://pcpartpicker.com/product/yFdFf7/arctic-cooling-cpu-cooler-ucacoap112gbb01,2000,22.5,,
Deepcool GAMMAXX 300 R,,https://pcpartpicker.com/product/GHVBD3/deepcool-gammaxx-300-r-40-cfm-cpu-cooler-gammaxx-300-r,"900,1600","17.8,21",,
CRYORIG M9 Plus,,https://pcpartpicker.com/product/TnJtt6/cryorig-m9-plus-484-cfm-cpu-cooler-m9-plus,"600,2200",26.4,Black / Silver,
Cooler Master MasterLiquid ML360 RGB TR4 Edition,,https://pcpartpicker.com/product/X8qhP6/cooler-master-masterliquid-ml360-rgb-tr4-edition-667-cfm-liquid-cpu-cooler-mlx-d36m-a20pc-t1,"650,2000","6,30",Black,360
ID-COOLING IS-30,,https://pcpartpicker.com/product/7XsnTW/id-cooling-is-30-40-cfm-cpu-cooler-is-30,"800,3600","17,35.8",,
Silverstone PF120-ARGB,,https://pcpartpicker.com/product/qVFKHx/silverstone-pf120-argb-94-cfm-liquid-cpu-cooler-sst-pf120-argb,"600,2200","7.4,35.6",Black,120
Gelid Solutions Phantom Black,,https://pcpartpicker.com/product/jmmFf7/gelid-solutions-phantom-black-cpu-cooler-cc-phantom-black-01-a,"750,1600","12,26.7",Black / Silver,
upHere C92,,https://pcpartpicker.com/product/qkzFf7/uphere-c92-70-cfm-cpu-cooler-lysb01ivqy6gs-cmptraccs,"800,1800","15.1,31.6",Black / Red,
