name,price,href,rpm,noise_level,color,size
Noctua NH-U12A chromax.black,129.94,https://pcpartpicker.com/product/HCgFf7/noctua-nh-u12a-chromaxblack-6009-cfm-cpu-cooler-nh-u12a-chromaxblack,"450,2000","18.8,22.6",Black,
Iceberg Thermal IceFLOE T95,9.99,https://pcpartpicker.com/product/qrWzK8/iceberg-thermal-icefloe-t95-41-cfm-cpu-cooler-icefloe95-00a,"1000,2200",32.3,Teal / Silver,
Cooler Master MasterLiquid 240L Core ARGB,69.99,https://pcpartpicker.com/product/FRV2FT/cooler-master-masterliquid-240l-core-argb-liquid-cpu-cooler-mlw-d24m-a18pz-r1,"350,1750",27.2,Black,240
Thermalright Assassin X Refined SE ARGB,18.89,https://pcpartpicker.com/product/Js2WGX/thermalright-assassin-x-refined-se-argb-6617-cfm-cpu-cooler-ax120-refined-se-argb,1550,25.6,Black / Silver,
Thermalright Frozen Notte ARGB,,https://pcpartpicker.com/product/9VmNnQ/thermalright-frozen-notte-argb-7237-cfm-liquid-cpu-cooler-frozen-notte-360-white-argb-d1,2000,27.7,White,360
Cooler Master Hyper 212 (2023),29.99,https://pcpartpicker.com/product/dF3NnQ/cooler-master-hyper-212-2023-707-cfm-cpu-cooler-rr-s4kk-25sn-r1,"690,2500",32.8,Black,
Thermalright Aqua Elite V3,44.99,https://pcpartpicker.com/product/TmWJ7P/thermalright-aqua-elite-v3-6617-cfm-liquid-cpu-cooler-aqua-elite-240-white-v3,1500,25.6,White,240
Asus ROG RYUJIN II,558,https://pcpartpicker.com/product/QyxRsY/asus-rog-ryujin-ii-716-cfm-liquid-cpu-cooler-rog-ryujin-ii-360,"450,2000",29.7,Black,360
ARCTIC Liquid Freezer III 280,86.23,https://pcpartpicker.com/product/hR9wrH/arctic-liquid-freezer-iii-280-728-cfm-liquid-cpu-cooler-acfre00135a,"200,1700",,Black,280
Thermalright Aqua Elite V3,,https://pcpartpicker.com/product/ZQBzK8/thermalright-aqua-elite-v3-6617-cfm-liquid-cpu-cooler-aqua-elite-360-black-v3,1500,25.6,Black,360
NZXT Kraken 240 RGB,160.99,https://pcpartpicker.com/product/ccbRsY/nzxt-kraken-240-rgb-7802-cfm-liquid-cpu-cooler-rl-kr240-b1,"500,1800","17.9,30.6",Black,240
Corsair iCUE LINK H150i LCD,224.99,https://pcpartpicker.com/product/4TNYcf/corsair-icue-link-h150i-lcd-631-cfm-liquid-cpu-cooler-cw-9061008-ww,"480,2400",,Black,360
Asus ROG Ryujin III ARGB,324.99,https://pcpartpicker.com/product/wqHqqs/asus-rog-ryujin-iii-argb-7007-cfm-liquid-cpu-cooler-90rc00l1-m0uay0,"600,2200",36.45,Black,360
Corsair iCUE H150i ELITE CAPELLIX XT,199.99,https://pcpartpicker.com/product/sccgXL/corsair-icue-h150i-elite-capellix-xt-6557-cfm-liquid-cpu-cooler-cw-9060073-ww,"550,2100",,White,360
Thermalright Aqua Elite V3,50.9,https://pcpartpicker.com/product/BvmNnQ/thermalright-aqua-elite-v3-6617-cfm-liquid-cpu-cooler-aqua-elite-240-black-v3,1500,25.6,Black,240
Lian Li Galahad II LCD SL-INF,217.99,https://pcpartpicker.com/product/LKGhP6/lian-li-galahad-ii-lcd-sl-inf-799-cfm-liquid-cpu-cooler-ga2alcd36inb,,29,Black,360
ARCTIC Liquid Freezer III 420,98.55,https://pcpartpicker.com/product/Hk3NnQ/arctic-liquid-freezer-iii-420-728-cfm-liquid-cpu-cooler-acfre00137a,"200,1700",,Black,420
Deepcool AK400,,https://pcpartpicker.com/product/QPkWGX/deepcool-ak400-6647-cfm-cpu-cooler-r-ak400-bknnmn-g-1,"500,1850",29,Black / Silver,
Thermalright AXP90-X47,22.9,https://pcpartpicker.com/product/7GTp99/thermalright-axp90-x47-4258-cfm-cpu-cooler-axp90-x47-black,2700,22.4,Black,
Corsair iCUE LINK H150i LCD,284.99,https://pcpartpicker.com/product/fLjRsY/corsair-icue-link-h150i-lcd-631-cfm-liquid-cpu-cooler-cw-9061010-ww,"480,2400",,White,360
Intel E97379-001,10.02,https://pcpartpicker.com/product/xm22FT/intel-e97379-001-cpu-cooler-e97379-001,"1200,2800",22,Silver / Black,
NZXT Kraken 360 RGB,219.99,https://pcpartpicker.com/product/hqmNnQ/nzxt-kraken-360-rgb-7802-cfm-liquid-cpu-cooler-rl-kr360-b1,"500,1800","17.9,30.6",Black,360
ARCTIC Freezer 36,25.4,https://pcpartpicker.com/product/n6bRsY/arctic-freezer-36-cpu-cooler-acfre00121a,"200,1800",,Black / Silver,
ID-COOLING SE-214-XT ARGB,17.98,https://pcpartpicker.com/product/YwbTwP/id-cooling-se-214-xt-argb-682-cfm-cpu-cooler-se-214-xt-argb-white,"500,1500","13.8,30.5",White,
Deepcool GAMMAXX AG400 ARGB,,https://pcpartpicker.com/product/WKWzK8/deepcool-gammaxx-ag400-argb-7589-cfm-cpu-cooler-r-ag400-bkanmc-g-2,"500,2000",31.6,Black,
Noctua NH-L12S,64.9,https://pcpartpicker.com/product/hbnG3C/noctua-nh-l12s-5544-cfm-cpu-cooler-nh-l12s,"450,1850","16.8,23.9",,
Thermalright Peerless Assassin 120 White,51.39,https://pcpartpicker.com/product/476p99/thermalright-peerless-assassin-120-white-6617-cfm-cpu-cooler-pa120-white,1550,25.6,White,
Thermalright Phantom Spirit,35.99,https://pcpartpicker.com/product/zkWJ7P/thermalright-phantom-spirit-6617-cfm-cpu-cooler-ps120,1500,25.6,Black / Silver,
Lian Li Galahad II LCD SL-INF,236.99,https://pcpartpicker.com/product/G6mNnQ/lian-li-galahad-ii-lcd-sl-inf-799-cfm-liquid-cpu-cooler-ga2alcd36inw,,29,White,360
Cooler Master MasterLiquid 360L Core ARGB,91.37,https://pcpartpicker.com/product/zhjRsY/cooler-master-masterliquid-360l-core-argb-liquid-cpu-cooler-mlw-d36m-a18pz-rw,"350,1750",27.2,White,360
be quiet! Pure Rock Slim 2,24.99,https://pcpartpicker.com/product/JcqPxr/be-quiet-pure-rock-slim-2-cpu-cooler-bk030,,"13.1,25.4",Black / Silver,
ID-COOLING SE-903-XT,14.99,https://pcpartpicker.com/product/hctLrH/id-cooling-se-903-xt-458-cfm-cpu-cooler-se-903-xt-black,"500,2200",25.8,Black,
Noctua NH-L9x65 chromax.black,69.9,https://pcpartpicker.com/product/QvvD4D/noctua-nh-l9x65-chromaxblack-3384-cfm-cpu-cooler-nh-l9x65-chromaxblack,"600,2500","14.8,23.6",Black,
Noctua NH-L9A-AM5,44.95,https://pcpartpicker.com/product/qwrqqs/noctua-nh-l9a-am5-3384-cfm-cpu-cooler-nh-l9a-am5,"600,2500","14.8,23.6",Brown / Silver,
Noctua NH-D15S chromax.black,108,https://pcpartpicker.com/product/R6kgXL/noctua-nh-d15s-chromaxblack-8251-cfm-cpu-cooler-nh-d15s-chromaxblack,"300,1500","19.2,24.6",Black,
Lian Li Galahad II Trinity Performance,109.99,https://pcpartpicker.com/product/thmNnQ/lian-li-galahad-ii-trinity-performance-10829-cfm-liquid-cpu-cooler-ga2p36b,"2300,3000","32.1,39.9",Black,360
Corsair iCUE H150i RGB ELITE,164,https://pcpartpicker.com/product/dnVmP6/corsair-icue-h150i-rgb-elite-6557-cfm-liquid-cpu-cooler-cw-9060060-ww,"400,1850","19,35.8",Black,360
Thermalright Assassin Spirit 120 EVO DARK,20.9,https://pcpartpicker.com/product/khJp99/thermalright-assassin-spirit-120-evo-dark-704-cfm-cpu-cooler-as120-evo-dark-d6-de,1850,27,Black,
Thermalright Frozen Notte ARGB,50.9,https://pcpartpicker.com/product/ccFmP6/thermalright-frozen-notte-argb-7237-cfm-liquid-cpu-cooler-frozen-notte-240-white-argb,2000,27.7,White,240
Thermalright Assassin X 120 V2,16.79,https://pcpartpicker.com/product/44YRsY/thermalright-assassin-x-120-v2-6617-cfm-cpu-cooler-ax120-v2,1500,25.6,Black / Silver,
Noctua NH-U9S chromax.black,69.95,https://pcpartpicker.com/product/9pfFf7/noctua-nh-u9s-chromaxblack-464-cfm-cpu-cooler-nh-u9s-chromaxblack,"400,2000","16.3,22.8",Black,
Corsair iCUE H170i ELITE LCD XT,280.39,https://pcpartpicker.com/product/vCJp99/corsair-icue-h170i-elite-lcd-xt-89-cfm-liquid-cpu-cooler-cw-9060076-ww,"500,1700","5,33.8",Black,420
