name,price,href,type,color,psu,side_panel,external_volume,internal_35_bays
MSI MAG FORGE 100M Lite,,https://pcpartpicker.com/product/fvC48d/msi-mag-forge-100m-lite-atx-mid-tower-case-mag-forge-100m-lite,ATX Mid Tower,Black,,Tempered Glass,44.1,2
SSUPD Meshroom S V2,,https://pcpartpicker.com/product/F7tLrH/ssupd-meshroom-s-v2-microatx-mini-tower-case-42249455927480,MicroATX Mini Tower,Gray,,Mesh,14.9,2
GameMax Kreator,69.49,https://pcpartpicker.com/product/nK3NnQ/gamemax-kreator-atx-mid-tower-case-kreator,ATX Mid Tower,Black,,Tempered Glass,40.7,2
NZXT H700 Nuka-Cola,,https://pcpartpicker.com/product/ZsCD4D/nzxt-h700-nuka-cola-limited-edition-atx-mid-tower-case-ca-h700b-nc,ATX Mid Tower,Red / Black,,Tempered Glass,58.6,2
KOLINK Unity Lateral ARGB,,https://pcpartpicker.com/product/8xdG3C/kolink-unity-lateral-argb-atx-mid-tower-case-unity-lateral-argb,ATX Mid Tower,Black,,Tempered Glass,53.4,2
Fractal Design Define XL R2,,https://pcpartpicker.com/product/GTGkcf/fractal-design-case-fdcadefxlr2ti,ATX Full Tower,Gray,,,72.1,8
Apevia Destiny Flow,83.99,https://pcpartpicker.com/product/kNxxFT/apevia-destiny-flow-atx-mid-tower-case-destiny-flow-wh,ATX Mid Tower,White,,Tempered Glass,,2
Geometric Future Model 2 The ARK,269.89,https://pcpartpicker.com/product/9PYRsY/geometric-future-model-2-the-ark-microatx-mini-tower-case-geo-m2-gg,MicroATX Mini Tower,Gray / Black,,Tempered Glass,40.7,1
Thermaltake Commander C34 TG Snow ARGB,74.96,https://pcpartpicker.com/product/xHYLrH/thermaltake-commander-c34-tg-snow-argb-edition-atx-mid-tower-case-ca-1n5-00m6wn-00,ATX Mid Tower,White / Black,,Tempered Glass,,3
SHARKOON MS-Z1000,76.76,https://pcpartpicker.com/product/NGYRsY/sharkoon-ms-z1000-microatx-mid-tower-case-4044951035090,MicroATX Mid Tower,Black,,Tempered Glass,26.2,1
